Timestamp,Voltage,Current,Power,Energy,Cost,Appliance,Alert
2026-06-09 19:27:07.427638,230.79,5.17,1193.18,0.0017,0.01,Fan,NORMAL
2026-06-09 19:27:12.432938,236.27,3.82,902.55,0.0029,0.02,Refrigerator,NORMAL
2026-06-09 19:27:17.438867,227.48,3.94,896.27,0.0042,0.03,Washing Machine,NORMAL
2026-06-09 19:27:22.444691,228.95,8.55,1957.52,0.0069,0.05,TV,WARNING
2026-06-09 19:27:27.446643,238.99,2.23,532.95,0.0076,0.06,AC,NORMAL
2026-06-09 19:27:32.452400,226.81,9.56,2168.3,0.0106,0.09,TV,WARNING
2026-06-09 19:27:37.458136,233.26,1.63,380.21,0.0112,0.09,Washing Machine,NORMAL
2026-06-09 19:27:42.463928,232.13,8.07,1873.29,0.0138,0.11,TV,WARNING
2026-06-09 19:27:47.468892,232.65,9.85,2291.6,0.0169,0.14,Laptop,WARNING
2026-06-09 19:27:52.471336,238.89,9.84,2350.68,0.0202,0.16,TV,WARNING
2026-06-09 19:27:57.477154,221.11,4.25,939.72,0.0215,0.17,Refrigerator,NORMAL
2026-06-09 19:28:02.482871,225.92,3.74,844.94,0.0227,0.18,Laptop,NORMAL
2026-06-09 19:28:07.488666,237.54,5.12,1216.2,0.0244,0.19,Washing Machine,NORMAL
2026-06-09 19:28:12.494547,232.48,4.62,1074.06,0.0259,0.21,TV,NORMAL
2026-06-09 19:28:17.499457,221.56,5.93,1313.85,0.0277,0.22,Washing Machine,NORMAL
2026-06-09 19:28:22.505057,238.44,7.8,1859.83,0.0303,0.24,Fan,WARNING
2026-06-09 19:28:27.510862,228.44,1.18,269.56,0.0306,0.25,Refrigerator,NORMAL
2026-06-09 19:28:32.516638,231.78,9.97,2310.85,0.0339,0.27,TV,WARNING
2026-06-09 19:28:37.522048,220.49,9.99,2202.7,0.0369,0.3,Washing Machine,WARNING
2026-06-09 19:28:42.527793,229.19,0.75,171.89,0.0372,0.3,Washing Machine,NORMAL
